Smiles,Inchi Key
C(=N/N(c1ccccc1)c1ccccc1)\c1ccccc1,VREONUZGDYDJLN-CAPFRKAQSA-N
Fc1cccc(-c2nc(C3CC3)ncc2-c2nnnn2-c2ccc(Cl)cc2)c1,GZJHNJXODFYRDC-UHFFFAOYSA-N
CCOC(=O)CSc1nc(-c2ccccc2)nc2ccccc12,LDEHPRNCJJXOFE-UHFFFAOYSA-N
Cn1ncc(Br)c1C(=O)Nc1ccc(F)cc1F,UBWLQIWFVGUHBI-UHFFFAOYSA-N
COc1cc(C(=O)Nc2ccc(N3CCCS3(=O)=O)cc2)c([N+](=O)[O-])cc1OC,CKLRRRYIRRWPTR-UHFFFAOYSA-N
CCOC(=O)c1cccc(NC(=O)CSc2ncc3c(n2)-c2ccc(Cl)cc2N(Cc2ccccc2)S3(=O)=O)c1,OHBDPPGUEKDSBY-UHFFFAOYSA-N
CC(=O)c1cccs1,WYJOVVXUZNRJQY-UHFFFAOYSA-N
COc1ccc(C2C=C(c3ccc(Br)cc3)Nc3nc(N4C(=O)CCC4=O)nn32)cc1,ORSHASBOSZNMPQ-UHFFFAOYSA-N
N#CC1=C(S)N(c2ccccc2)C(c2ccc(-c3ccc(Cl)c(Cl)c3)o2)NC1=O,IUWMIEHFNRVMLN-UHFFFAOYSA-N
CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](Cl)(Br)[C@@H]1O)Oc1ccccc1,BIDXGMZPYDTZTP-IGEANLTESA-N
Cc1cccc(NC(=O)Nc2ccc(C)c(C)c2)n1,IPMJRPNBEDTQGJ-UHFFFAOYSA-N
COc1cc(C2=C(c3cn(CCCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,MHEYLSXQBQEYPZ-UHFFFAOYSA-N
O=C1C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C(=O)N1Cc1ccccc1,KCTMKNTUYXUDDV-UHFFFAOYSA-N
NN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,WDASILDKNHAVRK-UHFFFAOYSA-N
O=C(NC(NC(=S)Nc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1Cl,DWSYIKXQUSHSPI-UHFFFAOYSA-N
CC(=O)Oc1cc2c(c(Cl)c1OC(C)=O)CCNCC2c1ccccc1,OKLSTTFHEBNKCC-UHFFFAOYSA-N
N#Cc1ccccc1S(=O)(=O)N1CCN(Cc2c(O)ccc3ccccc23)CC1,IYAVXGNSMDGQTH-UHFFFAOYSA-N
CCN1CCCC1Cn1cnc2c3ccc(OC)cc3nc-2c1O,DFJOIMLNAKAYQF-UHFFFAOYSA-N
COc1ccc2c(c1)C(=O)C(=O)C1=C2NC(=S)NC1c1cccc(O)c1,ZNKDMMSFGPJUCT-UHFFFAOYSA-N
Cc1ccccc1CCNCc1cc2cccc(C)c2nc1O,CFVCBACLDWMPBK-UHFFFAOYSA-N
Cc1cc(NC(=O)c2cccc(C)c2[N+](=O)[O-])no1,ZCMRKSWARKIBIK-UHFFFAOYSA-N
CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCCc3ccc(F)cc3)ccc21,FYWWYKVAMYGPAT-UHFFFAOYSA-N
Cc1nc2ccc([N+](=O)[O-])cc2c(=O)n1Cc1ccc([N+](=O)[O-])cc1,PAELNKUZZWSOTQ-UHFFFAOYSA-N
CC(CC(=O)O)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,HZTFDAHJXDLITP-UHFFFAOYSA-N
Cc1ccc(CNc2nccc(-c3c(-c4ccc(F)cc4)nc4cc(CN(C)C)ccn34)n2)cc1,NEBRXNXVUOFFFB-UHFFFAOYSA-N
CS(=O)(=O)c1cccc(-c2cccc3nc(Nc4ccc(CN5CCOCC5)cc4)nn23)c1,AEFOERYLVMYANT-UHFFFAOYSA-N
Oc1cc2c(cc1O)[C@@H]1c3ccsc3CN[C@H]1CC2,UUGICWXWTLQAGO-NHYWBVRUSA-N
COc1ccc2c(c1)CCC(CN(C)CC(=O)O)C2c1ccccc1,UEBBYLJZCHTLEG-UHFFFAOYSA-N
Cc1cc(/C=C2/C(=O)N(C)C(=S)N2C)c(C)n1C1CC1,JXIHJHXQVDFVFD-JYRVWZFOSA-N
CCCCn1c(CSc2ccccn2)cn(-c2nnc(C(C)(C)C)s2)c1=O,MNNHETWOMOJGCD-UHFFFAOYSA-N
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(F)cc4)c4ccccc34)c21,GKJTUMVXJVVWIO-UHFFFAOYSA-N
O=C(c1cccc(F)c1-c1ncccn1)N1[C@@H]2CC[C@H]1[C@H](Nc1ccc(C(F)(F)F)cn1)C2,BDCUQVJRZGYIDS-OLMNPRSZSA-N
CC1CCCN(C2(c3ccccc3)CCCCC2)C1,IEOJHRAIYGJUBG-UHFFFAOYSA-N
CN(Cc1ccccc1)C(=O)c1cc(=O)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)Nc2cccc(-c3nn[nH]n3)c2)o1,SEWYHYNZMUNBRG-LSYYVWMOSA-N
N#Cc1ccc(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2cccs2)N3)cc1,FITXCLRWDSMQLY-UHFFFAOYSA-N
CC(C(=O)NCc1ccc(C(C)(C)C)cc1C#N)c1ccc(NS(C)(=O)=O)c(F)c1,IVZCTPOSLHYVDI-UHFFFAOYSA-N
COc1ccc(NC(=O)CN2C(=O)NC(C)(c3ccc4c(c3)OCCO4)C2=O)cc1S(N)(=O)=O,UEAUQLDIYZMSDU-UHFFFAOYSA-N
Cc1ccc(N(CC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)S(C)(=O)=O)cc1C,IRJDEFVEKZYZIM-UHFFFAOYSA-N
Clc1ccc(Sc2oc(C3CCOCC3)nc2-c2cnc3cc[nH]c3c2)cc1,ZRRPHUGYHHONQY-UHFFFAOYSA-N
COc1ccc(C2=NC(C)(C)N(CC(=O)Nc3cccc(C)c3)C2=O)cc1,GZAMXRQAACXAEF-UHFFFAOYSA-N
c1cncc(-c2nc(NCCC3CCCCC3)c3ccccc3n2)c1,HDBYPZURDNCVJI-UHFFFAOYSA-N
CC(C/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1)N(C)C,OAASKINNJUWLMI-WGPBWIAQSA-N
COC(=O)C(N)CCCNC(=N)N[N+](=O)[O-],KCWZGJVSDFYRIX-UHFFFAOYSA-N
CCN(CC)S(=O)(=O)c1ccc(C(=O)NCC(=O)NCCCc2ccccc2)cc1,DTLPCCKUYHPFDA-UHFFFAOYSA-N
Cn1cc(C(=O)OCC(=O)Nc2ccccc2Cl)c2ccccc21,GJRKVGLPQSNSCF-UHFFFAOYSA-N
O=C(NCc1ccccc1)c1cc(C2COCCN2C(=O)c2ccccc2)on1,FGDAZKVTZICWBW-UHFFFAOYSA-N
Cc1cc(NC(=S)NNC(=O)c2cccnc2Oc2ccccc2)ccc1Br,AVEOBSQKVNAPTA-UHFFFAOYSA-N
CC(C(N)=O)N1c2cccc3cccc(c23)S1(=O)=O,OCZQWBISMDLSEK-UHFFFAOYSA-N
O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCCc1ccc(Cl)cc1,SXJUXJRJKAMBPF-UHFFFAOYSA-N
N#Cc1nc(N2CC[C@H](S(=O)(=O)c3ccc(-n4cccn4)cc3Cl)C2)cc(C(F)(F)F)n1,YPPSEJUJIDXPJF-ZDUSSCGKSA-N
CC(=O)Nc1ccc(S(=O)(=O)c2sc3ncccc3c2-c2ccc(Cl)cc2)cc1,PHNVTEGJIIUIFF-UHFFFAOYSA-N
Cc1cccc(NC(=O)CSc2nnc3c4c(c(C#N)c(Nc5ccccc5)n23)CC(C)(C)OC4)c1,KEAGVTGHCJWSRR-UHFFFAOYSA-N
CCC1C(=O)N/C(=N\c2ccc(OC(C)C)cc2)N(Cc2ccc(Cl)cc2)C1=O,XGPQUZZKSLWFAZ-UHFFFAOYSA-N
Cc1ccc(Nc2nc(NCC(F)(F)F)c3nc[nH]c3n2)cc1,HVYKDBUSMZPNKZ-UHFFFAOYSA-N
CN1C(=O)C(Cc2ccc(C(C)(C)C)cc2)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21,QNNDEUPIIBUQDX-UHFFFAOYSA-N
O=C1c2c(-c3ccccc3)cc(N3CCC(N4CCCC4)CC3)nc2OCCCN1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,AFBDOVSBEISTQY-UHFFFAOYSA-N
CC1CN(C2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)CC(C)O1.O=C(O)C(=O)O,CAQMAPBXQIMRLX-UHFFFAOYSA-N
Cc1cc(C(C)(C)C)ccc1OCCN(C)C,FTYOSVOSXOLKLF-UHFFFAOYSA-N
O=C1NC2(CCCCC2)N=C1c1ccccc1,XZKWZMSPSMVVCZ-UHFFFAOYSA-N
COc1cc(N2CCC(Oc3ccc(F)cc3F)CC2)c(NC(=O)c2cccnc2OC)cn1,LKHDGPNZGMDTQT-UHFFFAOYSA-N
O=S1NC(Cc2ccc3cccc(Cl)c3c2)=NO1,ZMJSINXUFGXMIH-UHFFFAOYSA-N
[O-][N+]1=C(c2ccccc2Cl)c2cc(Cl)ccc2-c2ncncc2C1,WMLKIRMQFYNVCP-UHFFFAOYSA-N
C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(CC(=O)O)cc1,BGZQSZZZEVNBPB-UHFFFAOYSA-N
c1ccc(-c2csc3ncnc(Sc4nnc5ccccn45)c23)cc1,VTWTZEHOBOADIH-UHFFFAOYSA-N
O=C1C2C3CC4C(OC(C42)N1c1ccccc1)C3O,YYCZYYFGCLAYJS-UHFFFAOYSA-N
CC(=O)N1CCSc2ccc(S(=O)(=O)NCCc3ccc(C)cc3)cc21,CNINCCFOLKJUNS-UHFFFAOYSA-N
Cc1ccccc1C(=O)NCCN1CCOCC1,GLAVCDLFQQONEK-UHFFFAOYSA-N
NC(=O)CCC(NC(=O)OCc1ccccc1)C(=O)O,JIMLDJNLXLMGLX-UHFFFAOYSA-N
COCCN1C2CCC1c1c(n(C)c3ccc(S(=O)(=O)c4ccc5[nH]ccc5c4)cc13)C2,BXAFTHRBIYMCOI-UHFFFAOYSA-N
Cc1cnc(C(=O)OCC(=O)N2CC(C)CC(C)C2)cn1,CDNCXSBSIGOTBR-UHFFFAOYSA-N
