key,input,outcome
VREONUZGDYDJLN-CAPFRKAQSA-N,C(=N/N(c1ccccc1)c1ccccc1)\c1ccccc1,0.5239273905754089
GZJHNJXODFYRDC-UHFFFAOYSA-N,Fc1cccc(-c2nc(C3CC3)ncc2-c2nnnn2-c2ccc(Cl)cc2)c1,0.7029703259468079
LDEHPRNCJJXOFE-UHFFFAOYSA-N,CCOC(=O)CSc1nc(-c2ccccc2)nc2ccccc12,0.5750824809074402
UBWLQIWFVGUHBI-UHFFFAOYSA-N,Cn1ncc(Br)c1C(=O)Nc1ccc(F)cc1F,0.2673267424106598
CKLRRRYIRRWPTR-UHFFFAOYSA-N,COc1cc(C(=O)Nc2ccc(N3CCCS3(=O)=O)cc2)c([N+](=O)[O-])cc1OC,0.4034653604030609
OHBDPPGUEKDSBY-UHFFFAOYSA-N,CCOC(=O)c1cccc(NC(=O)CSc2ncc3c(n2)-c2ccc(Cl)cc2N(Cc2ccccc2)S3(=O)=O)c1,0.5891088843345642
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,0.07714521139860153
ORSHASBOSZNMPQ-UHFFFAOYSA-N,COc1ccc(C2C=C(c3ccc(Br)cc3)Nc3nc(N4C(=O)CCC4=O)nn32)cc1,0.5792078971862793
IUWMIEHFNRVMLN-UHFFFAOYSA-N,N#CC1=C(S)N(c2ccccc2)C(c2ccc(-c3ccc(Cl)c(Cl)c3)o2)NC1=O,0.8366336822509766
BIDXGMZPYDTZTP-IGEANLTESA-N,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](Cl)(Br)[C@@H]1O)Oc1ccccc1,0.4544554352760315
IPMJRPNBEDTQGJ-UHFFFAOYSA-N,Cc1cccc(NC(=O)Nc2ccc(C)c(C)c2)n1,0.27227723598480225
MHEYLSXQBQEYPZ-UHFFFAOYSA-N,COc1cc(C2=C(c3cn(CCCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,0.4648514986038208
KCTMKNTUYXUDDV-UHFFFAOYSA-N,O=C1C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C(=O)N1Cc1ccccc1,0.4752475321292877
WDASILDKNHAVRK-UHFFFAOYSA-N,NN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,0.2505893409252167
DWSYIKXQUSHSPI-UHFFFAOYSA-N,O=C(NC(NC(=S)Nc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1Cl,0.4282178282737732
OKLSTTFHEBNKCC-UHFFFAOYSA-N,CC(=O)Oc1cc2c(c(Cl)c1OC(C)=O)CCNCC2c1ccccc1,0.3448844850063324
IYAVXGNSMDGQTH-UHFFFAOYSA-N,N#Cc1ccccc1S(=O)(=O)N1CCN(Cc2c(O)ccc3ccccc23)CC1,0.6122112274169922
DFJOIMLNAKAYQF-UHFFFAOYSA-N,CCN1CCCC1Cn1cnc2c3ccc(OC)cc3nc-2c1O,0.4034653604030609
ZNKDMMSFGPJUCT-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(=O)C1=C2NC(=S)NC1c1cccc(O)c1,0.33580857515335083
CFVCBACLDWMPBK-UHFFFAOYSA-N,Cc1ccccc1CCNCc1cc2cccc(C)c2nc1O,0.6225247383117676
ZCMRKSWARKIBIK-UHFFFAOYSA-N,Cc1cc(NC(=O)c2cccc(C)c2[N+](=O)[O-])no1,0.15024752914905548
FYWWYKVAMYGPAT-UHFFFAOYSA-N,CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCCc3ccc(F)cc3)ccc21,0.6336633563041687
PAELNKUZZWSOTQ-UHFFFAOYSA-N,Cc1nc2ccc([N+](=O)[O-])cc2c(=O)n1Cc1ccc([N+](=O)[O-])cc1,0.6170791983604431
HZTFDAHJXDLITP-UHFFFAOYSA-N,CC(CC(=O)O)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,0.4628712832927704
NEBRXNXVUOFFFB-UHFFFAOYSA-N,Cc1ccc(CNc2nccc(-c3c(-c4ccc(F)cc4)nc4cc(CN(C)C)ccn34)n2)cc1,0.735973596572876
AEFOERYLVMYANT-UHFFFAOYSA-N,CS(=O)(=O)c1cccc(-c2cccc3nc(Nc4ccc(CN5CCOCC5)cc4)nn23)c1,0.48638615012168884
